id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
227,Robert Lewandowski,34,2862,23,25.93928101,7,6.353777157,135,36,2,1,F S,Barcelona,23,25.19600501,36.74624398,9.871428991
2370,Karim Benzema,24,2056,19,23.95281184,3,6.247546785,107,48,1,0,F,Real Madrid,12,18.00658266,25.88561362,8.579489946
866,Joselu,34,2989,16,15.87162376,2,2.095152434,93,22,2,0,F S,Espanyol,11,12.15523842,13.92011758,2.132707592
2270,Antoine Griezmann,38,2853,15,11.75119044,16,15.64358641,111,85,2,0,F M S,Atletico Madrid,15,11.75119044,30.89370555,11.25261722
2543,Borja Iglesias,35,2406,15,15.63413328,3,2.921825267,63,22,2,1,F S,Real Betis,10,11.17459127,15.9616909,3.046393381
9002,Vedat Muriqi,35,2980,15,13.94293292,3,2.405640239,75,21,6,1,F S,Mallorca,11,10.22654831,12.27048506,1.933449986
6219,Enes Ünal,35,3013,14,11.60818972,3,3.355746454,88,28,6,0,F,Getafe,9,7.148527042,10.86175853,3.268147917
1804,Álvaro Morata,36,1930,13,14.64975682,2,1.978996174,71,17,4,0,F S,Atletico Madrid,13,14.64975682,16.11631727,3.310232304
10948,Valentín Castellanos,35,2664,13,14.01920995,0,1.632543638,86,15,11,0,F S,Girona,12,13.27593294,14.27326451,2.422393678
2290,Iago Aspas,37,2852,12,10.68591656,3,6.543626823,78,81,4,0,F S,Celta Vigo,10,8.45608281,20.44666382,8.838192334
6531,Alexander Sørloth,34,2411,12,15.47488551,3,4.683027925,63,31,4,0,F S,Real Sociedad,12,15.47488551,21.82136032,4.321957106
10048,Nicolas Jackson,26,1617,12,8.562871572,4,4.143055668,41,22,4,1,F S,Villarreal,12,8.562871572,15.19600752,3.050466212
8713,Gabriel Veiga,36,2333,11,6.07980842,4,3.169464748,62,28,5,1,F M S,Celta Vigo,11,6.07980842,13.14036308,5.013061734
2399,Iñaki Williams,36,2884,10,11.30264325,3,6.158518914,85,39,2,0,F M S,Athletic Club,9,9.816090582,17.58138924,3.863448839
3211,Martin Braithwaite,31,2493,10,11.36306763,2,1.686795741,59,12,6,1,F M S,Espanyol,10,11.36306763,13.11323411,3.276439911
7008,Vinícius Júnior,33,2847,10,10.86910555,9,9.859566218,77,64,10,1,F M S,Real Madrid,10,10.86910555,25.33413933,9.522749238
7779,Oihan Sancet,36,2588,10,8.514426483,2,4.576554673,57,44,6,1,M S,Athletic Club,8,7.027870847,16.23642613,6.456854951
1709,Cristhian Stuani,32,1040,9,9.906453077,0,1.246814087,35,8,8,0,F S,Girona,4,5.446792509,5.696666757,1.22289185
2117,Marco Asensio,31,1422,9,6.373870919,6,5.16651067,59,40,1,0,F M S,Real Madrid,9,5.630593828,15.24282023,8.655335156
2275,Ángel Correa,35,1434,9,6.723428345,1,4.057136275,43,23,3,1,F M S,Atletico Madrid,9,6.723428345,11.9750014,4.690866146
8001,Takefusa Kubo,35,2483,9,7.147603329,4,6.844971332,72,38,3,0,F M S,Real Sociedad,9,7.147603329,15.97466503,4.888196805
8015,Rodrygo,34,2385,9,14.77451155,8,7.274762898,98,47,4,0,F M S,Real Madrid,8,14.03123353,27.13535383,10.77294494
9812,Isi Palazón,37,3041,9,7.68491761,5,4.770460482,94,64,4,0,F M S,Rayo Vallecano,8,5.461059231,10.31423994,4.320788228
1235,Ante Budimir,31,1825,8,8.004971715,0,0.737396304,58,11,5,0,F S,Osasuna,8,8.004971715,8.553136076,1.374441571
