nombreequipo,nombrejugador,preciojugador,fechanacimiento,edad,nacionalidad,altura,posicion,partidosjugados,valoracionpromedio,totalgoles,totalpasesgol,totalgolesrecibidos,porteriaimbatida,minutosjugados
Manchester City,Ederson,56,17/08/1993,27,Brasil,1.88,Portero,308,218,0,0,252,146,27.407'
Manchester City,Zack Steffen,6,02/04/1995,26,Estados Unidos,1.91,Portero,135,153,0,0,187,38,12.240'
Manchester City,Scott Carson,0.5,03/09/1985,35,Inglaterra,1.88,Portero,520,144,0,0,657,153,46.770'
Manchester City,Rúben Dias,70,14/05/1997,23,Portugal,1.87,Defensa central,246,202,13,8,0,0,21.821'
Manchester City,Aymeric Laporte,50,27/05/1994,26,Francia,1.89,Defensa central,336,188,17,10,0,0,28.801'
Manchester City,Nathan Aké,35,18/02/1995,26,Países Bajos,1.8,Defensa central,229,145,17,12,0,0,18.873'
Manchester City,John Stones,30,28/05/1994,26,Inglaterra,1.88,Defensa central,295,199,12,3,0,0,22.897'
Manchester City,Eric García,20,09/01/2001,20,España,1.83,Defensa central,83,201,6,2,0,0,6.753'
Manchester City,Philippe Sandler,3,10/02/1997,24,Países Bajos,1.9,,0,0,0,0,0,0,0
Manchester City,Benjamin Mendy,22,17/07/1994,26,Francia,1.85,Lateral izquierdo,273,191,6,40,0,0,22.296'
Manchester City,Oleksandr Zinchenko,20,15/12/1996,24,Ucrania,1.75,Lateral izquierdo,155,209,5,25,0,0,10.902'
Manchester City,João Cancelo,50,27/05/1994,26,Portugal,1.82,Lateral derecho,274,181,11,42,0,0,20.665'
Manchester City,Kyle Walker,35,28/05/1990,30,Inglaterra,1.83,Lateral derecho,488,201,11,46,0,0,41.115'
Manchester City,Rodri,70,22/06/1996,24,España,1.91,Pivote,268,200,12,13,0,0,19.399'
Manchester City,Fernandinho,2.5,04/05/1985,35,Brasil,1.79,Pivote,631,218,77,77,0,0,49.624'
Manchester City,Phil Foden,70,28/05/2000,20,Inglaterra,1.71,Mediocentro,155,250,48,34,0,0,9.329'
Manchester City,Ilkay Gündogan,40,24/10/1990,30,Alemania,1.8,Mediocentro,452,207,88,53,0,0,32.870'
Manchester City,Kevin De Bruyne,100,28/06/1991,29,Bélgica,1.81,Mediocentro ofensivo,484,199,112,189,0,0,36.967'
Manchester City,Bernardo Silva,70,10/08/1994,26,Portugal,1.73,Mediocentro ofensivo,380,221,70,66,0,0,26.377'
Manchester City,Raheem Sterling,100,08/12/1994,26,Inglaterra,1.7,Extremo izquierdo,433,204,144,121,0,0,32.524'
Manchester City,Ferran Torres,50,29/02/2000,21,España,1.84,Extremo derecho,138,183,18,20,0,0,7.702'
